from	to	fre
HBG2	GO:0004601	1.30243675441208
HBZ	GO:0004601	1.30243675441208
IYD	GO:0004601	1.30243675441208
LOXHD1	GO:0004601	1.30243675441208
HBG2	GO:0016684	1.30243675441208
HBZ	GO:0016684	1.30243675441208
IYD	GO:0016684	1.30243675441208
LOXHD1	GO:0016684	1.30243675441208
COCH	GO:0060350	2.19050205573671
COL21A1	GO:0060350	2.19050205573671
COL7A1	GO:0060350	2.19050205573671
DLX5	GO:0060350	2.19050205573671
FOXC1	GO:0060350	2.19050205573671
MEF2D	GO:0060350	2.19050205573671
MMP14	GO:0060350	2.19050205573671
THBS3	GO:0060350	2.19050205573671
COCH	GO:0060349	1.93212762329248
COL21A1	GO:0060349	1.93212762329248
COL7A1	GO:0060349	1.93212762329248
CYP26B1	GO:0060349	1.93212762329248
DLX5	GO:0060349	1.93212762329248
FOXC1	GO:0060349	1.93212762329248
MEF2D	GO:0060349	1.93212762329248
MMP14	GO:0060349	1.93212762329248
THBS3	GO:0060349	1.93212762329248
GCK	hsa05230	1.36606500062788
IDH2	hsa05230	1.36606500062788
MTOR	hsa05230	1.36606500062788
PFKL	hsa05230	1.36606500062788
PIK3CA	hsa05230	1.36606500062788
LDHC	hsa05230	1.36606500062788
AHR	hsa05208	1.44708087439108
IKBKG	hsa05208	1.44708087439108
NDUFB1	hsa05208	1.44708087439108
NDUFB8	hsa05208	1.44708087439108
PRKCD	hsa05208	1.44708087439108
SOS1	hsa05208	1.44708087439108
ABI3BP	GO:0030198	1.41700380222214
CCDC80	GO:0030198	1.41700380222214
CD47	GO:0030198	1.41700380222214
COL14A1	GO:0030198	1.41700380222214
COL17A1	GO:0030198	1.41700380222214
COL1A2	GO:0030198	1.41700380222214
COL22A1	GO:0030198	1.41700380222214
COL2A1	GO:0030198	1.41700380222214
COL3A1	GO:0030198	1.41700380222214
COL7A1	GO:0030198	1.41700380222214
DPP4	GO:0030198	1.41700380222214
ELN	GO:0030198	1.41700380222214
GAS2	GO:0030198	1.41700380222214
MMP23B	GO:0030198	1.41700380222214
SERPINE1	GO:0030198	1.41700380222214
COL14A1	GO:0005581	4.05188817778761
COL17A1	GO:0005581	4.05188817778761
COL1A2	GO:0005581	4.05188817778761
COL21A1	GO:0005581	4.05188817778761
COL22A1	GO:0005581	4.05188817778761
COL2A1	GO:0005581	4.05188817778761
COL3A1	GO:0005581	4.05188817778761
COL7A1	GO:0005581	4.05188817778761
FCN1	GO:0005581	4.05188817778761
ABI3BP	GO:0062023	4.05188817778761
CCDC80	GO:0062023	4.05188817778761
CDH13	GO:0062023	4.05188817778761
COL14A1	GO:0062023	4.05188817778761
COL17A1	GO:0062023	4.05188817778761
COL1A2	GO:0062023	4.05188817778761
COL21A1	GO:0062023	4.05188817778761
COL2A1	GO:0062023	4.05188817778761
COL3A1	GO:0062023	4.05188817778761
COL7A1	GO:0062023	4.05188817778761
ELN	GO:0062023	4.05188817778761
FCN1	GO:0062023	4.05188817778761
MMP23B	GO:0062023	4.05188817778761
PZP	GO:0062023	4.05188817778761
SERPINE1	GO:0062023	4.05188817778761
SRPX	GO:0062023	4.05188817778761
SSC5D	GO:0062023	4.05188817778761
WNT5A	GO:0062023	4.05188817778761
C3	GO:0005788	3.04410810110588
COL14A1	GO:0005788	3.04410810110588
COL17A1	GO:0005788	3.04410810110588
COL1A2	GO:0005788	3.04410810110588
COL21A1	GO:0005788	3.04410810110588
COL22A1	GO:0005788	3.04410810110588
COL2A1	GO:0005788	3.04410810110588
COL3A1	GO:0005788	3.04410810110588
COL7A1	GO:0005788	3.04410810110588
EDEM3	GO:0005788	3.04410810110588
IL12B	GO:0005788	3.04410810110588
P4HA3	GO:0005788	3.04410810110588
PROC	GO:0005788	3.04410810110588
WNT5A	GO:0005788	3.04410810110588
COL14A1	GO:0044420	2.77678796561193
COL1A2	GO:0044420	2.77678796561193
COL2A1	GO:0044420	2.77678796561193
COL3A1	GO:0044420	2.77678796561193
COL7A1	GO:0044420	2.77678796561193
ELN	GO:0044420	2.77678796561193
COL1A2	GO:0098644	2.4687776158622
COL2A1	GO:0098644	2.4687776158622
COL3A1	GO:0098644	2.4687776158622
COL7A1	GO:0098644	2.4687776158622
COL1A2	GO:0005583	1.9857048926389
