V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13	V14	V15	V16	V17	V18	V19	V20	V21	V22	V23	V24	V25
7.0934	0.07276	6.41112	52.77688	0.22522	0.37306	0.18244	3.48126	0.20018	0.93796	0.20498	0.27874	11.90548	0.06784	2.43368	2.52998	358.17088	207.2	0.22918	0.21268	250915.9896	3.5906	0.1725	21.2	1
7.90964	0.02918	2.83232	22.3594	0.11892	0.22588	0.11072	1.37332	0.24854	0.96256	0.2897	0.17112	8.61662	0.05594	2.32108	2.3168	658.9435	200.4	0.3224	0.1401	2841410	3.00538	0.20336	12	1
6.46968	0.08342	3.81358	34.008	0.24052	0.3237	0.1506	2.76708	0.22662	0.92366	0.26222	0.23288	8.8277	0.07902	1.5597	2.26374	359.45214	164.2	0.26024	0.17932	271841.8391	2.41218	0.20904	18.4	1
6.7685	0.04155	4.672975	8.0418	0.1459	0.304425	0.1411	1.9734	0.2688	0.959725	0.2943	0.1898	8.07515	0.062675	2.4865	2.2492	457.3494	222.5	0.22785	0.1551	598057.7	3.53655	0.194175	6.75	0
6.80726	0.07716	5.86504	43.24932	0.23014	0.31474	0.1419	3.76924	0.24668	0.9294	0.11844	0.2144	13.57668	0.03578	1.57226	2.26804	678.06248	200.4	0.13658	0.17086	482811.0989	2.90168	0.21046	39	0
6.9382	0.07504	5.92558	43.3736	0.2128	0.3582	0.17018	3.57058	0.23132	0.93894	0.2036	0.2345	9.74774	0.05964	2.0595	2.35908	379.63964	213	0.18034	0.1928	412105.0853	3.4737	0.19266	13.6	0
7.40502	0.0557	7.53122	34.235	0.18892	0.37832	0.19008	3.737	0.1525	0.95394	0.14496	0.30558	19.4098	0.04978	3.61358	2.87088	507.27608	247.4	0.17626	0.22356	78644.55044	3.83948	0.15782	26.8	0
7.42384	0.04532	3.85698	32.31134	0.1598	0.29248	0.13384	2.06926	0.3026	0.95828	0.27928	0.16762	7.0523	0.06088	2.06088	2.11796	690.914	208.6	0.24454	0.13944	3301125	2.83348	0.19876	4.8	1
7.49014	0.0359	2.3658	21.14812	0.1415	0.21966	0.10262	1.50008	0.4065	0.96882	0.29872	0.0984	5.0612	0.05224	1.59832	1.77584	1719.785	171.8	0.26244	0.08812	17911240	2.24006	0.21236	2	0
7.547833	0.03233333	3.976567	11.86737	0.1292333	0.219	0.1062	2.176067	0.1908667	0.9766667	0.1916	0.1516333	12.09893	0.03273333	3.352567	2.592967	1090.708	205.6667	0.1810333	0.1272	1913669	3.847133	0.1618667	6.333333	1
