V1	V2	V3	V4	V5	V6	V7	V8	V9
0.0663	6.7169	2.0107	40.9125	0.1898	0.2387	0.0973	1.5398	1
0.0768	6.9431	6.4969	34.6991	0.2496	0.3658	0.1816	4.5817	0
0.0546	7.4423	5.094	48.126	0.178	0.2996	0.1452	2.5649	0
0.0768	7.1825	8.8155	63.4885	0.2355	0.4372	0.2294	5.2417	1
0.0787	6.9604	5.6249	48.1162	0.2474	0.355	0.167	4.4618	0
0.0609	7.0661	3.3511	80.4368	0.193	0.2788	0.1329	2.2072	1
0.0681	7.1026	3.6821	60.8389	0.2264	0.2622	0.1197	3.2599	0
0.07	7.1174	12.9437	36.9621	0.1999	0.4266	0.2228	6.1289	0
0.0748	7.0532	4.7108	85.5494	0.2307	0.3029	0.1373	3.6889	0
0.0705	6.8128	4.0367	37.0076	0.216	0.3382	0.1614	2.4725	0
0.06	7.4874	4.803	84.2863	0.2043	0.2975	0.144	3.4855	1
0.0496	7.4705	5.333	51.3304	0.1796	0.3206	0.1514	2.24	0
0.0528	7.2696	4.7774	28.8903	0.1728	0.3452	0.167	2.6093	1
0.0784	6.6842	4.588	37.7967	0.2276	0.3525	0.1628	3.1136	0
0.0623	7.6369	6.8264	233.1144	0.1938	0.3018	0.1451	4.258	0
0.0884	6.6136	4.3912	49.8333	0.2521	0.3229	0.1493	3.042	0
0.0788	7.1741	7.9569	57.2724	0.2456	0.3666	0.1708	4.93	0
0.0639	6.8074	2.2601	54.4765	0.2068	0.2628	0.1197	1.7847	1
0.0664	7.0018	4.7374	38.115	0.1959	0.3422	0.163	2.8682	1
0.0795	6.6642	3.6661	42.6306	0.2233	0.3393	0.1543	2.5833	0
0.043	7.5754	1.8679	62.6513	0.1538	0.2364	0.1108	1.2246	0
0.0548	6.7933	4.0255	16.8306	0.1776	0.2684	0.126	2.5357	0
0.0602	7.5287	6.4238	55.2288	0.1939	0.3051	0.1446	3.8871	0
0.0585	7.567	3.9371	125.5217	0.1962	0.2826	0.1327	2.2553	0
0.0472	7.3735	6.0195	24.0706	0.1586	0.2517	0.1192	3.6831	0
0.0793	6.4331	1.9851	42.6729	0.2407	0.2513	0.1046	1.8681	1
0.0723	7.1326	8.0446	52.4628	0.2192	0.397	0.2002	4.2958	0
0.0654	6.8102	2.3864	44.7251	0.2044	0.2467	0.1007	1.8669	0
0.0682	7.1399	6.4582	42.165	0.2209	0.348	0.1639	3.8828	0
0.1024	6.2842	3.8876	40.335	0.2894	0.3148	0.1418	3.5899	0
0.074	6.7724	3.577	56.896	0.2235	0.2817	0.1192	2.5708	1
0.0462	7.3062	2.8747	37.9891	0.1547	0.2438	0.1157	1.4285	0
0.0707	7.2023	5.2132	60.8955	0.2167	0.3325	0.1545	3.1963	1
0.0661	7.2776	4.8046	75.726	0.2109	0.3407	0.1602	2.9151	0
0.046	7.2453	7.6495	17.0485	0.161	0.4052	0.2107	2.552	0
0.0709	7.104	7.7569	34.5359	0.2398	0.3398	0.1656	5.4569	1
0.0605	7.4411	6.7134	53.3787	0.1703	0.3774	0.1839	2.9156	0
0.058	7.4517	4.007	63.3281	0.1969	0.272	0.1237	2.7831	0
0.0436	7.3158	1.936	53.4	0.1577	0.2414	0.1079	1.0264	0
0.0677	7.0557	7.8682	33.1959	0.2002	0.3853	0.1883	3.3862	1
0.0871	6.5973	2.9012	72.187	0.2406	0.2762	0.1128	2.2775	0
0.0841	6.7902	3.2443	97.0433	0.2445	0.328	0.148	2.2147	0
0.066	7.5435	14.3552	79.7175	0.2052	0.4134	0.2103	6.7171	1
0.045	7.6798	4.3749	33.9057	0.1648	0.2863	0.1359	2.7192	0
0.0478	7.28	2.4483	66.3808	0.1676	0.2663	0.1192	1.2645	0
0.0402	7.6533	3.9987	23.007	0.1617	0.2394	0.1191	2.2947	1
0.0838	7.2151	7.1517	72.1684	0.2503	0.3699	0.1764	4.5302	0
0.0591	7.0362	3.0173	31.2159	0.1919	0.2208	0.0958	2.1732	0
0.0423	8.0808	3.3977	124.9499	0.1533	0.2553	0.1213	1.966	0
0.0544	7.3611	6.7519	32.62	0.1815	0.3414	0.1681	3.3784	0
0.0877	6.7133	6.5589	46.2068	0.2629	0.3742	0.1824	4.9043	1
0.0636	7.4953	9.6629	69.1599	0.2008	0.3744	0.1818	4.6879	1
0.0481	7.7769	5.5924	67.742	0.1638	0.3444	0.169	2.5385	0
0.0642	7.2629	9.4796	40.12	0.1955	0.2878	0.138	5.9227	0
0.0893	7.0549	5.8811	127.5864	0.2642	0.3814	0.1758	4.619	0
0.0667	6.9311	6.185	24.7466	0.1988	0.3621	0.175	3.2192	0
0.0706	7.2987	5.6504	78.9929	0.2193	0.3477	0.1623	3.411	1
0.0901	6.9736	6.0736	81.4248	0.2611	0.343	0.1533	4.2752	0
0.0775	6.2254	1.1075	47.1382	0.2287	0.2484	0.1032	1.0967	1
0.0761	7.1113	6.5979	53.4274	0.2409	0.3408	0.1559	4.7272	1
0.0903	6.9226	5.8578	91.2356	0.2539	0.3478	0.1629	3.7878	0
0.0368	7.0194	2.0939	11.7398	0.1451	0.1878	0.0839	2.1866	1
0.0753	7.2289	9.0391	46.7585	0.2341	0.366	0.1751	6.2077	0
0.0601	6.9646	2.6871	57.0653	0.1919	0.2849	0.128	1.6854	0
0.068	7.0191	5.417	40.8769	0.2082	0.36	0.1735	2.5676	1
0.0909	7.1069	7.8134	117.5719	0.2673	0.3361	0.1534	5.7474	0
0.0553	7.3907	3.8342	65.1613	0.1766	0.287	0.1372	2.1731	0
0.0743	6.9422	5.5848	44.9967	0.2253	0.3522	0.1685	3.1696	0
0.0751	7.2809	11.2416	63.5809	0.2087	0.4242	0.2198	5.2883	1
0.0462	7.6404	4.7783	42.7927	0.1741	0.3218	0.1584	2.2242	0
0.07	7.477	8.6824	105.6313	0.2191	0.4439	0.2348	4.291	0
0.067	7.3419	7.6915	66.2619	0.2083	0.4177	0.2122	4.0034	1
0.0891	6.221	1.969	31.7079	0.2493	0.2589	0.1049	2.0584	1
0.0457	7.3131	7.6151	18.0329	0.1568	0.2671	0.1299	5.1176	0
0.0646	7.4894	10.3664	112.0611	0.202	0.4164	0.2141	4.6914	0
0.072	7.0941	5.9938	38.7175	0.2209	0.3535	0.1711	3.4907	1
0.083	6.785	2.9725	59.9931	0.2547	0.3215	0.144	2.5743	0
0.0606	7.5034	4.8865	107.0102	0.2006	0.3366	0.1611	2.9165	1
0.0531	7.5325	3.4592	83.8372	0.187	0.3031	0.1435	1.8518	0
0.0545	6.8867	3.8849	23.6143	0.1789	0.3267	0.1504	2.0787	0
0.0527	7.5725	6.5265	45.1587	0.1785	0.2969	0.147	3.1444	0
0.0464	7.6855	4.8933	33.6648	0.1734	0.2617	0.1246	3.2949	0
0.0763	6.775	4.0742	37.0658	0.2254	0.3416	0.1608	2.3129	1
0.0398	8.1186	4.9579	71.0907	0.1501	0.2467	0.1222	2.4469	1
0.0512	7.3259	2.3266	85.5317	0.1783	0.2687	0.1218	1.5495	1
0.0576	7.2321	9.1122	25.98	0.186	0.3895	0.1946	3.8135	1
0.046	7.2807	3.9234	24.8182	0.1644	0.3039	0.1489	2.1694	1
0.0835	6.7475	5.5378	39.3227	0.2471	0.3488	0.1681	4.0334	1
