		sim
128	original_firstorder_90Percentile	original_glrlm_GrayLevelNonUniformityNormalized	0.335227272727273
129	original_firstorder_90Percentile	original_glrlm_GrayLevelVariance	0.0666666666666667
130	original_firstorder_90Percentile	original_glrlm_HighGrayLevelRunEmphasis	0.121019108280255
131	original_firstorder_90Percentile	original_glrlm_LongRunEmphasis	0.1
132	original_firstorder_90Percentile	original_glrlm_LongRunHighGrayLevelEmphasis	0.293103448275862
133	original_firstorder_90Percentile	original_glrlm_LongRunLowGrayLevelEmphasis	0.357954545454545
134	original_firstorder_90Percentile	original_glrlm_LowGrayLevelRunEmphasis	0.087248322147651
135	original_firstorder_90Percentile	original_glrlm_RunEntropy	0.556818181818182
136	original_firstorder_90Percentile	original_glrlm_RunLengthNonUniformity	0.0689655172413793
137	original_firstorder_90Percentile	original_glrlm_RunLengthNonUniformityNormalized	0.211267605633803
138	original_firstorder_90Percentile	original_glrlm_RunPercentage	0.164285714285714
139	original_firstorder_90Percentile	original_glrlm_RunVariance	0.181818181818182
140	original_firstorder_90Percentile	original_glrlm_ShortRunEmphasis	0.198863636363636
141	original_firstorder_90Percentile	original_glrlm_ShortRunHighGrayLevelEmphasis	0.431818181818182
142	original_firstorder_90Percentile	original_glrlm_ShortRunLowGrayLevelEmphasis	0.31404958677686
143	original_firstorder_90Percentile	original_glszm_GrayLevelNonUniformity	0.15
144	original_firstorder_90Percentile	original_glszm_GrayLevelNonUniformityNormalized	0.386363636363636
145	original_firstorder_90Percentile	original_glszm_GrayLevelVariance	0.136363636363636
146	original_firstorder_90Percentile	original_glszm_HighGrayLevelZoneEmphasis	0.181818181818182
147	original_firstorder_90Percentile	original_glszm_LargeAreaEmphasis	0.113636363636364
148	original_firstorder_90Percentile	original_glszm_LargeAreaHighGrayLevelEmphasis	0.232954545454545
149	original_firstorder_90Percentile	original_glszm_LargeAreaLowGrayLevelEmphasis	0.193548387096774
150	original_firstorder_90Percentile	original_glszm_LowGrayLevelZoneEmphasis	0.289772727272727
151	original_firstorder_90Percentile	original_glszm_SizeZoneNonUniformity	0.25
152	original_firstorder_90Percentile	original_glszm_SizeZoneNonUniformityNormalized	0.102272727272727
153	original_firstorder_90Percentile	original_glszm_SmallAreaEmphasis	0.132947976878613
154	original_firstorder_90Percentile	original_glszm_SmallAreaHighGrayLevelEmphasis	0.24468085106383
155	original_firstorder_90Percentile	original_glszm_SmallAreaLowGrayLevelEmphasis	0.198863636363636
156	original_firstorder_90Percentile	original_glszm_ZoneEntropy	0.4375
157	original_firstorder_90Percentile	original_glszm_ZonePercentage	0.363636363636364
158	original_firstorder_90Percentile	original_glszm_ZoneVariance	0.20253164556962
159	original_firstorder_90Percentile	original_gldm_DependenceEntropy	0.272727272727273
160	original_firstorder_90Percentile	original_gldm_DependenceNonUniformity	0.1875
161	original_firstorder_90Percentile	original_gldm_DependenceNonUniformityNormalized	0.215909090909091
162	original_firstorder_90Percentile	original_gldm_DependenceVariance	0.232954545454545
163	original_firstorder_90Percentile	original_gldm_GrayLevelNonUniformity	0.130681818181818
